/local_home/bodenstse/cholec80_1fps/frames/1/34/00000275.png,[0. 0. 1. 0. 1. 0. 1.],[0. 0. 0. 0. 1. 1. 0.],[0. 0. 1. 1. 1. 0. 1.],[1. 0. 0. 1. 1. 0. 1.],[0. 0. 0. 0. 1. 0. 1.],[1. 0. 1. 0. 1. 0. 0.],[1. 0. 0. 0. 1. 0. 1.],[1. 0. 1. 0. 1. 0. 1.],[0. 0. 0. 0. 1. 1. 1.],[1. 0. 0. 0. 1. 0. 1.],|[0.00181172 0.00053492 0.00280477 0.00168825 0.00090927 0.00204278
 0.0014097 ]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000967.png,[1. 0. 0. 0. 1. 1. 1.],[1. 0. 0. 0. 1. 1. 1.],[1. 0. 0. 0. 1. 1. 1.],[1. 0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 1. 1. 1.],[0. 0. 1. 0. 0. 1. 1.],[1. 0. 0. 1. 1. 1. 1.],[1. 0. 1. 0. 0. 1. 1.],[1. 0. 1. 0. 0. 1. 1.],[0. 0. 0. 0. 1. 0. 1.],|[0.00060287 0.00098481 0.00492807 0.0023641  0.00201197 0.00179176
 0.00130265]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000121.png,[1. 0. 1. 1. 1. 0. 1.],[1. 0. 0. 1. 1. 0. 1.],[1. 0. 0. 1. 1. 0. 1.],[1. 0. 0. 1. 0. 0. 0.],[1. 0. 1. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 1. 1. 0. 1.],[1. 0. 1. 1. 0. 0. 1.],[1. 0. 0. 1. 0. 0. 1.],[1. 0. 1. 1. 1. 0. 1.],|[0.0012262  0.00057614 0.00216425 0.0014476  0.0021358  0.00086949
 0.00144994]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000494.png,[1. 0. 0. 1. 1. 1. 1.],[0. 0. 1. 1. 1. 1. 1.],[1. 0. 0. 1. 1. 0. 1.],[0. 0. 0. 1. 0. 0. 1.],[1. 0. 1. 0. 1. 1. 1.],[1. 0. 0. 0. 1. 1. 1.],[1. 0. 0. 1. 1. 0. 1.],[1. 0. 0. 0. 0. 0. 1.],[1. 0. 0. 1. 0. 1. 1.],[0. 0. 0. 0. 0. 0. 1.],|[0.00212855 0.00311028 0.00125527 0.00356165 0.00291597 0.00357786
 0.00160784]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00001228.png,[1. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 1. 0. 0. 1.],[1. 0. 1. 0. 1. 0. 0.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 0. 1. 1. 1. 1.],[0. 0. 1. 0. 0. 1. 1.],[1. 0. 0. 0. 1. 1. 0.],[0. 0. 1. 1. 1. 1. 1.],[1. 0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 1. 1. 1.],|[0.0015232  0.0012212  0.00317898 0.00115005 0.00058772 0.00066831
 0.00163065]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00001200.png,[1. 0. 0. 0. 1. 0. 1.],[1. 0. 1. 0. 1. 0. 1.],[1. 0. 1. 0. 1. 0. 1.],[1. 0. 1. 0. 1. 0. 1.],[1. 0. 0. 0. 1. 0. 1.],[1. 0. 1. 0. 1. 1. 1.],[1. 0. 0. 1. 0. 0. 1.],[1. 0. 1. 1. 0. 0. 1.],[0. 0. 0. 0. 1. 1. 1.],[1. 0. 0. 1. 1. 1. 1.],|[0.0049449  0.00450886 0.00370945 0.00177239 0.00546274 0.00501151
 0.00477783]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000050.png,[1. 0. 1. 1. 1. 0. 1.],[1. 0. 1. 1. 1. 0. 0.],[1. 0. 0. 1. 1. 1. 1.],[1. 0. 0. 1. 1. 0. 0.],[1. 0. 1. 1. 1. 0. 1.],[1. 0. 0. 1. 1. 1. 1.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 0. 1. 1. 1. 1.],[1. 0. 0. 1. 1. 0. 1.],|[0.00223579 0.00280697 0.00114142 0.00147154 0.00150133 0.00281447
 0.00166727]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000159.png,[0. 0. 0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0. 1.],[0. 0. 0. 1. 1. 0. 1.],[1. 0. 0. 1. 1. 0. 0.],[0. 0. 0. 1. 1. 1. 0.],[0. 0. 1. 1. 1. 1. 0.],[0. 0. 0. 1. 1. 0. 0.],[0. 0. 0. 1. 1. 0. 0.],[0. 0. 0. 1. 0. 0. 0.],[0. 0. 0. 1. 1. 0. 0.],|[0.00130593 0.00021181 0.00039446 0.0002953  0.00099984 0.00123133
 0.00053014]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000126.png,[1. 0. 0. 0. 0. 0. 0.],[1. 0. 1. 1. 0. 0. 1.],[1. 0. 1. 1. 1. 0. 1.],[1. 0. 1. 1. 0. 1. 1.],[1. 0. 0. 1. 1. 0. 1.],[1. 0. 0. 0. 0. 1. 1.],[1. 0. 1. 1. 1. 0. 1.],[1. 0. 1. 0. 0. 0. 1.],[1. 0. 0. 1. 1. 0. 1.],[1. 0. 1. 1. 0. 1. 1.],|[0.00096082 0.0007222  0.00173537 0.00140088 0.00134491 0.00281
 0.00111746]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000417.png,[1. 0. 1. 1. 0. 1. 1.],[0. 0. 0. 1. 0. 1. 1.],[0. 0. 1. 1. 1. 0. 0.],[0. 0. 0. 1. 1. 1. 1.],[0. 0. 1. 1. 1. 1. 1.],[1. 0. 0. 1. 0. 1. 1.],[0. 0. 0. 1. 0. 0. 1.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 1. 0. 0. 1.],|[0.00491393 0.00187449 0.0015272  0.00137088 0.00296918 0.00453213
 0.00445061]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000819.png,[1. 0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 0. 1. 1.],[0. 0. 0. 1. 1. 0. 1.],[0. 0. 0. 0. 1. 1. 1.],[1. 0. 0. 0. 1. 1. 0.],[1. 0. 0. 1. 1. 0. 1.],[0. 0. 0. 1. 1. 1. 1.],[1. 0. 0. 0. 1. 0. 1.],[0. 0. 0. 1. 1. 1. 1.],[1. 0. 0. 1. 1. 1. 1.],|[0.00103387 0.00248322 0.00099749 0.00100351 0.00090305 0.00179192
 0.00154221]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000412.png,[1. 0. 0. 1. 1. 1. 0.],[1. 0. 0. 0. 1. 0. 1.],[0. 0. 1. 1. 1. 1. 1.],[0. 0. 0. 1. 0. 1. 1.],[1. 0. 0. 1. 1. 1. 0.],[0. 0. 0. 1. 0. 0. 0.],[1. 0. 0. 1. 1. 1. 1.],[1. 0. 0. 1. 0. 1. 1.],[0. 0. 1. 1. 0. 1. 1.],[0. 0. 0. 1. 0. 0. 1.],|[0.00512742 0.00286434 0.00271475 0.00419513 0.00180292 0.00322173
 0.00441248]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000817.png,[0. 0. 0. 0. 1. 1. 1.],[0. 0. 1. 1. 0. 0. 0.],[0. 0. 0. 1. 0. 1. 1.],[0. 0. 0. 1. 1. 0. 0.],[0. 0. 0. 0. 1. 1. 0.],[1. 0. 0. 1. 1. 1. 1.],[0. 0. 0. 1. 1. 1. 0.],[0. 0. 0. 0. 1. 0. 1.],[0. 0. 0. 1. 1. 1. 1.],[0. 0. 1. 1. 1. 1. 0.],|[0.00060953 0.00194402 0.00209743 0.00206228 0.00158177 0.00162938
 0.00124997]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00001286.png,[1. 0. 0. 1. 1. 1. 1.],[1. 0. 0. 0. 1. 0. 0.],[1. 0. 0. 0. 1. 0. 1.],[1. 0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 1.],[1. 0. 0. 1. 0. 0. 1.],[0. 0. 1. 0. 1. 0. 0.],[0. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 1. 1. 0. 0.],|[0.0004632  0.00048752 0.00049645 0.00056954 0.00029488 0.00060647
 0.00030587]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000044.png,[1. 0. 1. 1. 1. 1. 0.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 1. 0. 1. 1.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 0. 1. 1. 0. 0.],[1. 0. 0. 1. 1. 1. 1.],[1. 0. 0. 0. 1. 1. 1.],[1. 0. 1. 1. 1. 0. 1.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 1. 0. 1. 1.],|[0.00146599 0.00123775 0.00209859 0.00223968 0.00219873 0.00273512
 0.00203584]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000873.png,[1. 0. 0. 0. 1. 1. 1.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 1. 1. 0. 0.],[0. 0. 1. 1. 1. 1. 1.],[1. 0. 0. 0. 1. 1. 1.],[1. 0. 1. 1. 1. 1. 1.],[1. 0. 0. 1. 0. 1. 1.],[1. 0. 1. 1. 1. 0. 1.],[1. 0. 1. 1. 0. 1. 1.],[1. 0. 1. 1. 1. 1. 1.],|[0.0023059  0.00133282 0.00116824 0.00208213 0.0016557  0.0018482
 0.00199552]|
/local_home/bodenstse/cholec80_1fps/frames/1/34/00000504.png,[0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 1. 0. 0. 1.],[1. 0. 0. 0. 1. 1. 1.],[0. 0. 0. 0. 1. 1. 1.],[0. 0. 0. 1. 0. 0. 0.],[1. 0. 1. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 1. 1.],[0. 0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 1. 0. 1.],[1. 0. 0. 0. 0. 1. 1.],|[0.00134472 0.00114796 0.00111648 0.00229379 0.00272424 0.00177182
 0.00092895]|
