2800,1,0,1,0,0,0,0
2825,1,0,0,0,0,0,0
3650,1,0,0,0,0,0,0
4625,1,0,0,0,0,0,0
7650,1,0,0,0,0,0,0
7700,1,0,0,0,0,0,0
7800,1,0,0,0,0,0,0
8100,1,0,1,0,0,0,0
8550,1,0,1,0,0,0,0
9225,1,0,0,0,0,0,0
10100,1,0,0,0,0,0,0
10250,1,0,0,0,0,0,0
10350,1,0,0,0,0,0,0
10700,1,0,0,0,0,0,0
10850,1,0,0,0,0,0,0
11225,1,0,0,0,0,0,0
11350,1,0,1,0,0,0,0
11675,1,0,1,0,0,0,0
12800,1,0,0,0,0,0,0
13075,1,0,0,0,0,0,0
13375,1,0,0,0,0,0,0
13900,1,0,0,0,0,0,0
14025,1,0,0,0,0,0,0
14500,1,1,1,1,1,1,1
14525,1,0,1,0,0,0,0
15200,0,0,0,0,0,0,0
15225,1,0,1,0,0,0,0
15500,1,0,0,0,0,0,0
16000,1,0,1,0,0,0,0
16850,0,0,0,0,0,0,0
